value	label
EPD	EPD
EPR	EPR
EPR-C	EPR-C
EPR-E	EPR-E
EPR-G	EPR-G
EPRT	EPRT
EQC	EQC
EQC-D	EQC-D
EQH	EQH
EQH-A	EQH-A
EQM	EQM
EQNR	EQNR
EQR	EQR
EQS	EQS
EQT	EQT
ERA	ERA
ERF	ERF
ERJ	ERJ
EROS	EROS
ES	ES
ESE	ESE
ESI	ESI
ESNT	ESNT
ESRT	ESRT
ESS	ESS
ESTC	ESTC
ESTE	ESTE
ET	ET
ETB	ETB
ETG	ETG
ETH	ETH
ETI.P	ETI.P
ETJ	ETJ
ETM	ETM
ETN	ETN
ETO	ETO
ETP-C	ETP-C
ETP-D	ETP-D
ETP-E	ETP-E
ETR	ETR
ETRN	ETRN
ETV	ETV
ETW	ETW
ETX	ETX
ETY	ETY
EURN	EURN
EV	EV
EVA	EVA
EVC	EVC
EVF	EVF
EVG	EVG
EVH	EVH
EVN	EVN
EVR	EVR
EVRG	EVRG
EVRI	EVRI
EVT	EVT
EVTC	EVTC
EW	EW
EXD	EXD
EXG	EXG
EXK	EXK
EXP	EXP
EXPR	EXPR
EXR	EXR
EXTN	EXTN
EZT	EZT
F	F
F-B	F-B
F-C	F-C
FAF	FAF
FAM	FAM
FBC	FBC
FBHS	FBHS
FBK	FBK
FBM	FBM
FBP	FBP
FC	FC
FCAU	FCAU
FCF	FCF
FCN	FCN
FCPT	FCPT
FCT	FCT
FCX	FCX
FDEU	FDEU
FDP	FDP
FDS	FDS
FDX	FDX
FE	FE
FEA.U	FEA.U
FEA.W	FEA.W
FEAC	FEAC
FEDU	FEDU
FEI	FEI
FENG	FENG
FEO	FEO
FET	FET
FF	FF
FFA	FFA
FFC	FFC
FFG	FFG
FG	FG
FG.W	FG.W
FGB	FGB
FHI	FHI
FHN	FHN
FHN-A	FHN-A
FHN-E	FHN-E
FI	FI
FICO	FICO
FIF	FIF
FINS	FINS
FINV	FINV
FIS	FIS
FIT	FIT
FIV	FIV
FIX	FIX
FL	FL
FLC	FLC
FLNG	FLNG
FLO	FLO
FLOW	FLOW
FLR	FLR
FLS	FLS
FLT	FLT
FLY	FLY
FMC	FMC
FMN	FMN
FMO	FMO
FMS	FMS
FMX	FMX
FMY	FMY
FN	FN
FNB	FNB
FNB-E	FNB-E
FND	FND
FNF	FNF
FNV	FNV
FOE	FOE
FOF	FOF
FOR	FOR
FOUR	FOUR
